species	A	E	F	H	U	total
Yersinia enterocolitica	599	65	713	3716	500	5593
Yersinia pestis	3064	3	1	277	301	3646
Yersinia pseudotuberculosis	79	0	6	29	257	371
Yersinia ruckeri	194	3	0	1	12	210
Yersinia kristensenii	10	3	3	5	34	55
Yersinia intermedia	10	7	7	5	19	48
Yersinia mollaretii	5	0	0	5	27	37
Yersinia sp.	10	5	0	9	7	31
Yersinia frederiksenii	2	4	2	8	9	25
Yersinia bercovieri	2	1	1	5	12	21
Yersinia alsatica	0	0	0	1	19	20
Yersinia proxima	2	0	6	2	10	20
Yersinia massiliensis	0	0	3	2	13	18
Yersinia aleksiciae	0	0	3	3	9	15
Yersinia rochesterensis	1	0	0	1	12	14
Yersinia rohdei	3	0	0	3	7	13
Yersinia aldovae	1	3	0	1	6	11
Yersinia similis	5	1	0	0	4	10
Yersinia vastinensis	0	0	0	0	10	10
Yersinia artesiana	0	0	0	0	4	4
Yersinia thracica	1	0	0	0	3	4
Yersinia hibernica	1	0	1	1	1	4
Yersinia canariae	0	0	0	1	2	3
Yersinia entomophaga	0	1	0	0	2	3
Yersinia wautersii	0	1	0	0	2	3
Yersinia pekkanenii	0	0	1	0	2	3
Yersinia nurmii	0	0	1	1	0	2
Yersinia fenwicki	0	0	0	1	0	1
