accession	species	assembly_level	source_database	geo_loc	collection_date
GCF_041538345.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Republic of Sakha, Yakutia	2009-09-16
GCF_041538325.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Krasnoyarsk	2021-03-10
GCF_048593885.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Republic of Karelia, Olonetsky District	2006-07-17
GCF_052217185.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Franz Josef Land, Hooker Island	2021-09-14
GCF_052217165.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Franz Josef Land, Hooker Island	2021-09-14
GCF_052217145.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Novaya Zemlya, Severny Island	2021-09-14
GCF_048593855.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Franz Josef Land, Bell Island	2021-09-14
GCF_048593865.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Franz Josef Land, Bell Island	2021-09-14
GCF_052217125.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Franz Josef Land, Bell Island	2021-09-14
GCF_052217105.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Russia: Franz Josef Land, Bell Island	2021-09-14
GCF_056636475.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Antarctica: Galindez Island	2025-01-18
GCF_056636495.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Antarctica: Galindez Island	2025-01-18
GCF_056636415.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Antarctica: Berthelot Island	2025-01-26
GCF_056636455.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Antarctica: Cape Tuxen	2025-02-04
GCF_056636425.1	Yersinia sp. (novel candidate)	Contig	SOURCE_DATABASE_REFSEQ	Antarctica: Yalour Island	2025-02-07
