"trait","D","p_random","p_brownian","n_present","n_absent","interpretation"
"niche_H",-5.9753,0,1,3955,6002,"Clumped > Brownian"
"niche_A",-8.0224,0,1,3924,6033,"Clumped > Brownian"
"niche_F",-0.401,0,0.644,725,9232,"Clumped > Brownian"
"niche_E",0.8584,0.171,0.384,91,9866,"Phylogenetic signal"
"amr_blaA",-16.9774,0,1,5419,4538,"Clumped > Brownian"
"amr_vat_F_",-17.2491,0,1,5286,4671,"Clumped > Brownian"
"amr_blaYRC",-5.0633,0,1,216,9741,"Clumped > Brownian"
"amr_tet_A_",1.0092,0.544,0.174,101,9856,"Random"
"amr_sul2",0.8705,0.197,0.355,99,9858,"Phylogenetic signal"
"amr_sul1",1.2086,0.924,0.038,96,9861,"Overdispersed"
"amr_aadA1",1.1717,0.804,0.08,68,9889,"Overdispersed"
"amr_aadA12",0.9849,0.492,0.198,70,9887,"Phylogenetic signal"
"amr_floR",0.8961,0.401,0.276,37,9920,"Phylogenetic signal"
"amr_sat2",1.058,0.592,0.178,36,9921,"Overdispersed"
"amr_dfrA1",1.2734,0.818,0.067,38,9919,"Overdispersed"
"amr_qacEdelta1",1.1799,0.881,0.044,96,9861,"Overdispersed"
"has_plasmid",-5.5193,0,1,7317,2640,"Clumped > Brownian"
