species	scheme	st	n
Yersinia aldovae	yersinia	-	2
Yersinia aldovae	yersinia	28	2
Yersinia aldovae	ypseudotuberculosis	-	3
Yersinia aldovae	ypseudotuberculosis	174	1
Yersinia aldovae	ypseudotuberculosis	180	1
Yersinia aldovae	ypseudotuberculosis	199	1
Yersinia aldovae	ypseudotuberculosis	217	1
Yersinia aleksiciae	yersinia	-	5
Yersinia aleksiciae	yersinia	66	2
Yersinia aleksiciae	yersinia	67	1
Yersinia aleksiciae	ypseudotuberculosis	-	6
Yersinia alsatica	yersinia	-	9
Yersinia alsatica	yersinia	130	2
Yersinia alsatica	yersinia	134	2
Yersinia alsatica	yersinia	64	1
Yersinia alsatica	ypseudotuberculosis	-	2
Yersinia alsatica	ypseudotuberculosis	306	2
Yersinia artesiana	ypseudotuberculosis	-	4
Yersinia bercovieri	yersinia	-	8
Yersinia bercovieri	yersinia	109	2
Yersinia bercovieri	yersinia	110	2
Yersinia bercovieri	yersinia	148	1
Yersinia bercovieri	yersinia	29	1
Yersinia bercovieri	yersinia	30	2
Yersinia bercovieri	ypseudotuberculosis	-	7
Yersinia bercovieri	ypseudotuberculosis	219	1
Yersinia canariae	-	-	3
Yersinia enterocolitica	yersinia	-	766
Yersinia enterocolitica	yersinia	1	2
Yersinia enterocolitica	yersinia	11	2
Yersinia enterocolitica	yersinia	118	21
Yersinia enterocolitica	yersinia	119	14
Yersinia enterocolitica	yersinia	12	621
Yersinia enterocolitica	yersinia	120	1
Yersinia enterocolitica	yersinia	123	2
Yersinia enterocolitica	yersinia	124	1
Yersinia enterocolitica	yersinia	125	34
Yersinia enterocolitica	yersinia	129	1
Yersinia enterocolitica	yersinia	13	28
Yersinia enterocolitica	yersinia	136	5
Yersinia enterocolitica	yersinia	137	2
Yersinia enterocolitica	yersinia	139	23
Yersinia enterocolitica	yersinia	14	191
Yersinia enterocolitica	yersinia	145	6
Yersinia enterocolitica	yersinia	147	48
Yersinia enterocolitica	yersinia	152	5
Yersinia enterocolitica	yersinia	154	13
Yersinia enterocolitica	yersinia	155	43
Yersinia enterocolitica	yersinia	157	17
Yersinia enterocolitica	yersinia	158	4
Yersinia enterocolitica	yersinia	16	9
Yersinia enterocolitica	yersinia	161	33
Yersinia enterocolitica	yersinia	162	1
Yersinia enterocolitica	yersinia	163	10
Yersinia enterocolitica	yersinia	165	1
Yersinia enterocolitica	yersinia	166	4
Yersinia enterocolitica	yersinia	17	23
Yersinia enterocolitica	yersinia	170	3
Yersinia enterocolitica	yersinia	18	890
Yersinia enterocolitica	yersinia	19	61
Yersinia enterocolitica	yersinia	2	9
Yersinia enterocolitica	yersinia	20	20
Yersinia enterocolitica	yersinia	21	24
Yersinia enterocolitica	yersinia	23	9
Yersinia enterocolitica	yersinia	25	2
Yersinia enterocolitica	yersinia	26	13
Yersinia enterocolitica	yersinia	3	185
Yersinia enterocolitica	yersinia	4	32
Yersinia enterocolitica	yersinia	5	23
Yersinia enterocolitica	yersinia	6	4
Yersinia enterocolitica	yersinia	7	2
Yersinia enterocolitica	yersinia	8	95
Yersinia entomophaga	ypseudotuberculosis	-	3
Yersinia entomophaga	ypseudotuberculosis	215	2
Yersinia fenwicki	yersinia	-	1
Yersinia frederiksenii	yersinia	-	2
Yersinia frederiksenii	yersinia	31	1
Yersinia frederiksenii	yersinia	32	4
Yersinia frederiksenii	yersinia	33	1
Yersinia frederiksenii	yersinia	47	1
Yersinia frederiksenii	yersinia	48	2
Yersinia frederiksenii	yersinia	49	1
Yersinia frederiksenii	yersinia	50	1
Yersinia frederiksenii	yersinia	51	3
Yersinia frederiksenii	yersinia	65	2
Yersinia frederiksenii	ypseudotuberculosis	-	3
Yersinia frederiksenii	ypseudotuberculosis	282	1
Yersinia hibernica	-	-	3
Yersinia hibernica	ypseudotuberculosis	-	1
Yersinia intermedia	yersinia	-	7
Yersinia intermedia	yersinia	108	1
Yersinia intermedia	yersinia	34	1
Yersinia intermedia	yersinia	35	1
Yersinia intermedia	yersinia	36	4
Yersinia intermedia	yersinia	37	2
Yersinia intermedia	yersinia	38	3
Yersinia intermedia	yersinia	39	6
Yersinia intermedia	yersinia	46	2
Yersinia intermedia	yersinia	68	1
Yersinia intermedia	yersinia	69	2
Yersinia intermedia	ypseudotuberculosis	-	14
Yersinia intermedia	ypseudotuberculosis	171	1
Yersinia intermedia	ypseudotuberculosis	203	1
Yersinia intermedia	ypseudotuberculosis	285	1
Yersinia intermedia	ypseudotuberculosis	287	1
Yersinia intermedia	ypseudotuberculosis	334	1
Yersinia kristensenii	yersinia	-	4
Yersinia kristensenii	yersinia	52	2
Yersinia kristensenii	yersinia	53	3
Yersinia kristensenii	yersinia	54	2
Yersinia kristensenii	yersinia	55	5
Yersinia kristensenii	yersinia	58	4
Yersinia kristensenii	ypseudotuberculosis	-	26
Yersinia kristensenii	ypseudotuberculosis	281	3
Yersinia kristensenii	ypseudotuberculosis	286	2
Yersinia kristensenii	ypseudotuberculosis	318	2
Yersinia massiliensis	yersinia	-	3
Yersinia massiliensis	yersinia	48	1
Yersinia massiliensis	yersinia	51	1
Yersinia massiliensis	yersinia	78	1
Yersinia massiliensis	ypseudotuberculosis	-	4
Yersinia massiliensis	ypseudotuberculosis	194	3
Yersinia massiliensis	ypseudotuberculosis	282	1
Yersinia massiliensis	ypseudotuberculosis	316	2
Yersinia mollaretii	yersinia	-	4
Yersinia mollaretii	yersinia	112	2
Yersinia mollaretii	yersinia	40	2
Yersinia mollaretii	yersinia	41	2
Yersinia mollaretii	yersinia	61	8
Yersinia mollaretii	yersinia	71	8
Yersinia mollaretii	yersinia	75	1
Yersinia mollaretii	ypseudotuberculosis	-	8
Yersinia mollaretii	ypseudotuberculosis	193	2
Yersinia nurmii	ypseudotuberculosis	-	1
Yersinia nurmii	ypseudotuberculosis	265	1
Yersinia pekkanenii	yersinia	62	3
Yersinia pestis	ypseudotuberculosis	-	7
Yersinia pestis	ypseudotuberculosis	2	1
Yersinia pestis	ypseudotuberculosis	90	26
Yersinia proxima	yersinia	-	1
Yersinia proxima	ypseudotuberculosis	-	15
Yersinia proxima	ypseudotuberculosis	238	1
Yersinia proxima	ypseudotuberculosis	263	1
Yersinia proxima	ypseudotuberculosis	308	1
Yersinia pseudotuberculosis	ypseudotuberculosis	-	3
Yersinia pseudotuberculosis	ypseudotuberculosis	10	8
Yersinia pseudotuberculosis	ypseudotuberculosis	12	1
Yersinia pseudotuberculosis	ypseudotuberculosis	14	56
Yersinia pseudotuberculosis	ypseudotuberculosis	16	20
Yersinia pseudotuberculosis	ypseudotuberculosis	18	1
Yersinia pseudotuberculosis	ypseudotuberculosis	19	12
Yersinia pseudotuberculosis	ypseudotuberculosis	2	26
Yersinia pseudotuberculosis	ypseudotuberculosis	23	2
Yersinia pseudotuberculosis	ypseudotuberculosis	26	5
Yersinia pseudotuberculosis	ypseudotuberculosis	27	2
Yersinia pseudotuberculosis	ypseudotuberculosis	28	1
Yersinia pseudotuberculosis	ypseudotuberculosis	32	4
Yersinia pseudotuberculosis	ypseudotuberculosis	39	1
Yersinia pseudotuberculosis	ypseudotuberculosis	4	1
Yersinia pseudotuberculosis	ypseudotuberculosis	41	23
Yersinia pseudotuberculosis	ypseudotuberculosis	42	75
Yersinia pseudotuberculosis	ypseudotuberculosis	43	47
Yersinia pseudotuberculosis	ypseudotuberculosis	48	2
Yersinia pseudotuberculosis	ypseudotuberculosis	50	3
Yersinia pseudotuberculosis	ypseudotuberculosis	52	1
Yersinia pseudotuberculosis	ypseudotuberculosis	54	1
Yersinia pseudotuberculosis	ypseudotuberculosis	62	1
Yersinia pseudotuberculosis	ypseudotuberculosis	9	24
Yersinia pseudotuberculosis	ypseudotuberculosis	95	1
Yersinia pseudotuberculosis	ypseudotuberculosis	96	1
Yersinia rochesterensis	yersinia	-	1
Yersinia rochesterensis	yersinia	83	4
Yersinia rochesterensis	yersinia	84	1
Yersinia rochesterensis	ypseudotuberculosis	-	8
Yersinia rochesterensis	ypseudotuberculosis	170	2
Yersinia rohdei	yersinia	42	2
Yersinia rohdei	yersinia	43	1
Yersinia rohdei	yersinia	72	1
Yersinia rohdei	yersinia	73	1
Yersinia rohdei	yersinia	74	1
Yersinia rohdei	ypseudotuberculosis	-	7
Yersinia similis	yersinia	-	1
Yersinia similis	yersinia	105	1
Yersinia similis	ypseudotuberculosis	-	1
Yersinia similis	ypseudotuberculosis	71	2
Yersinia similis	ypseudotuberculosis	74	1
Yersinia similis	ypseudotuberculosis	75	2
Yersinia similis	ypseudotuberculosis	92	2
Yersinia sp. (novel candidate)	ypseudotuberculosis	-	13
Yersinia sp. (novel candidate)	ypseudotuberculosis	274	2
Yersinia thracica	yersinia	-	2
Yersinia thracica	yersinia	107	1
Yersinia thracica	ypseudotuberculosis	-	1
Yersinia vastinensis	yersinia	-	6
Yersinia vastinensis	yersinia	56	2
Yersinia vastinensis	ypseudotuberculosis	-	4
Yersinia wautersii	yersinia	-	1
Yersinia wautersii	ypseudotuberculosis	20	1
Yersinia wautersii	ypseudotuberculosis	21	1
